127.0.0.1, 2011-12-22 15:01:58, GET, /, HTTP/1.1, 303, 0.001466
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.713910
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000429
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000403
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000422
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000386
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000405
127.0.0.1, 2011-12-22 15:01:59, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000405
127.0.0.1, 2011-12-22 15:02:00, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2011-12-22 15:02:00, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000532
127.0.0.1, 2011-12-22 15:02:00, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2011-12-22 15:02:00, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000404
127.0.0.1, 2011-12-22 15:02:00, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000484
127.0.0.1, 2011-12-22 15:02:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.014343
127.0.0.1, 2011-12-23 00:32:13, GET, /, HTTP/1.1, 303, 0.001895
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.033442
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000199
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000177
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000323
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000437
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000380
127.0.0.1, 2011-12-23 00:32:13, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000412
